"Var1","Freq"
"1",19
"10A",215
"10F",10
"11A",406
"11B",1
"11B/11C",1
"12F",471
"13",26
"14",152
"15A",486
"15B",202
"15B/15C",3
"15C",164
"15D",1
"15F",1
"16F",412
"17F",149
"18A",2
"18B",2
"18B:18C",3
"18C",45
"18F",1
"19A",586
"19F",379
"20",356
"21",47
"22F",1145
"23A",524
"23B",392
"23F",49
"24F/A/B",25
"28A",20
"3",1459
"31",227
"33A",3
"33F",466
"34",156
"35A",1
"35B",493
"35B:35D",36
"35F",149
"37",11
"38",164
"4",281
"5",5
"6A",46
"6B",60
"6C",338
"6D",2
"7A:7F",1
"7C",213
"7F",259
"8",458
"9L",2
"9N",604
"9V",58
"NF",1
"NT",7
